-3.955999999999999961e+00,2.880000000000000181e-03,7.000000000000000666e-02
-1.804000000000000048e+00,2.850000000000000103e-03,5.999999999999999778e-02
-8.040000000000000480e-01,3.109999999999999917e-03,1.000000000000000056e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.839999999999999858e-01,9.000000000000000567e-05,1.499999999999999944e-01
1.804000000000000048e+00,-1.100000000000000039e-04,1.700000000000000122e-01
2.803999999999999826e+00,-5.199999999999999544e-04,2.099999999999999922e-01
3.803999999999999826e+00,-1.020000000000000073e-03,1.600000000000000033e-01
4.804000000000000270e+00,-8.199999999999999824e-04,1.499999999999999944e-01
5.881999999999999673e+00,-2.200000000000000078e-04,2.800000000000000266e-01
7.089999999999999858e+00,4.499999999999999877e-04,3.699999999999999956e-01
7.977999999999999758e+00,1.020000000000000073e-03,1.199999999999999956e-01
9.195999999999999730e+00,1.180000000000000059e-03,8.999999999999999667e-02
1.118999999999999950e+01,1.539999999999999919e-03,8.000000000000000167e-02
1.319599999999999973e+01,1.729999999999999984e-03,7.000000000000000666e-02
1.619600000000000151e+01,1.910000000000000022e-03,7.000000000000000666e-02
2.019600000000000151e+01,2.020000000000000094e-03,7.000000000000000666e-02
2.413599999999999923e+01,2.040000000000000147e-03,7.000000000000000666e-02
2.812999999999999901e+01,2.050000000000000173e-03,1.000000000000000056e-01
3.219599999999999795e+01,2.119999999999999923e-03,7.000000000000000666e-02
3.599399999999999977e+01,2.299999999999999961e-03,8.000000000000000167e-02
