AOA,Baseline,Min,Max
0.000000000000000000e+00,1.424488416000000096e-07,-5.022812820000000134e-07,1.707626678999999969e-07
3.000000000000000000e+00,3.305253501000000038e-01,3.169491787000000005e-01,3.336765883000000210e-01
6.000000000000000000e+00,6.500917036000000149e-01,6.215926497999999523e-01,6.576719517000000348e-01
9.000000000000000000e+00,9.487807025000000172e-01,8.951115500999999863e-01,9.636864218999999787e-01
1.000000000000000000e+01,1.040982968000000009e+00,9.599414917999999908e-01,1.060255833000000036e+00
1.200000000000000000e+01,1.204650237000000068e+00,8.831840291000000454e-01,1.242721836999999940e+00
1.500000000000000000e+01,1.177093485000000106e+00,6.987118036999999671e-01,1.475264987000000083e+00
1.700000000000000000e+01,9.610515894000000170e-01,7.090651577000000039e-01,1.581782189999999977e+00
1.800000000000000000e+01,9.121297857000000286e-01,7.064669049999999784e-01,1.606691354999999932e+00
1.900000000000000000e+01,8.818872205000000131e-01,7.022938557000000248e-01,1.593782980000000071e+00
2.000000000000000000e+01,8.582365292000000423e-01,6.970125286999999670e-01,1.517093475000000025e+00
